Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
17.2,0,10,160.6578,1987.0,0,2,1,3690.5294
6.32,0,10,40.2822,2004.0,2,1,1,1139.1838
4.88,1,0,52.9298,1999.0,1,0,1,1995.4026
5.425,1,0,88.3514,2007.0,2,1,1,1416.8224
15.85,1,5,37.2506,1997.0,2,0,1,265.6542
7.5,0,3,121.7072,2007.0,2,1,1,3552.7088
12.65,0,14,161.5578,1987.0,0,2,1,2406.867
13.915723684210526,0,11,211.956,1985.0,2,0,0,213.056
20.75,0,6,124.173,1987.0,0,2,1,2956.152
13.23835812964931,0,4,152.134,1985.0,2,0,0,153.134
9.0,0,3,79.7644,2004.0,2,1,1,1649.8524
12.340829621380845,0,3,181.9292,1985.0,1,2,3,3101.2964
13.3379766536965,0,9,165.6526,1985.0,1,2,3,4769.1254
12.760273972602738,1,12,170.4764,1985.0,1,2,3,3435.528
14.1,0,6,86.4198,2002.0,2,1,1,1133.8574
7.55,0,3,152.334,2004.0,2,1,1,2603.278
13.0,0,9,45.406,1997.0,2,0,1,605.878
11.576204620462047,0,7,192.8846,1985.0,1,2,3,2293.0152
12.865732002419843,1,13,118.7782,1985.0,2,0,0,119.1782
12.3,1,15,92.9804,1987.0,0,2,1,1929.4884
12.865732002419843,0,13,109.8912,1985.0,1,2,3,2074.6328
13.17173943661972,0,8,79.9618,1985.0,1,2,3,241.6854
17.25,0,9,251.3724,2002.0,2,1,1,6795.1548
15.85,0,9,42.7112,2007.0,2,1,1,639.168
18.85,0,8,192.1846,2004.0,2,1,1,3248.4382
16.35,1,6,227.6062,2007.0,2,1,1,7222.5984
14.1,0,4,229.0668,2004.0,2,1,1,3225.1352
7.905,0,13,249.0408,2004.0,2,1,1,3755.112
12.0,0,3,179.3976,1987.0,0,2,1,3440.8544
12.15,1,6,163.4552,2004.0,2,1,1,974.7312
10.1,0,10,75.367,1999.0,1,0,1,535.969
17.5,0,5,262.491,2007.0,2,1,1,5259.82
13.23835812964931,0,4,152.034,1985.0,2,0,0,306.268
17.1,0,6,112.3886,2009.0,1,2,2,1779.0176
7.785,0,6,61.451,1999.0,1,0,1,759.012
11.8,1,13,125.9704,1987.0,0,2,1,1877.556
13.15,1,6,171.8764,2002.0,2,1,1,3779.0808
12.56932340425532,0,5,41.5796,1985.0,2,0,0,41.2796
8.5,0,3,51.1324,2007.0,2,1,1,259.662
8.645,0,8,96.341,1987.0,0,2,1,193.082
17.6,1,10,110.9202,2002.0,2,1,1,1687.803
9.1,0,0,127.5362,2007.0,2,1,1,4655.9394
12.8,1,10,225.9404,1987.0,0,2,1,4950.8888
7.63,0,14,95.4436,2004.0,2,1,1,1418.154
9.285,1,5,246.4144,2007.0,2,1,1,1225.072
13.6,1,4,231.03,2002.0,2,1,1,5359.69
8.895,0,2,176.237,2002.0,2,1,1,1764.37
16.35,0,9,195.211,1987.0,0,2,1,2553.343
17.6,0,5,43.3454,1987.0,0,2,1,1006.6896
7.975,0,0,85.225,1987.0,0,2,1,1081.925
15.85,0,15,36.7164,2007.0,2,1,1,308.9312
15.7,0,5,178.666,1987.0,0,2,1,2516.724
8.985,1,5,128.831,1997.0,2,0,1,1428.141
20.35,0,4,260.1594,1987.0,0,2,1,2093.2752
6.59,0,6,85.6908,1987.0,0,2,1,1929.4884
19.85,0,4,264.0884,2004.0,2,1,1,5829.7448
16.85,0,13,91.4488,1997.0,2,0,1,2082.6224
12.766103789126852,0,10,173.1738,1985.0,1,2,3,7298.4996
16.75,0,6,256.4988,1987.0,0,2,1,7452.9652
17.6,1,10,110.5202,2007.0,2,1,1,450.0808
7.905,0,13,250.4408,1998.0,2,2,0,500.6816
12.865732002419843,0,13,126.202,1985.0,1,2,3,3668.558
7.785,1,6,103.1964,2009.0,1,2,2,736.3748
7.825,0,9,253.0698,2004.0,2,1,1,6088.0752
13.3379766536965,0,9,101.0016,1985.0,1,2,3,2125.2336
20.75,0,14,153.0024,2007.0,2,1,1,2277.036
13.194406118776243,0,6,190.3846,1985.0,2,0,0,573.2538
6.26,1,10,151.1366,2004.0,2,1,1,2267.049
18.2,0,6,147.3734,1998.0,2,2,0,296.9468
13.0,0,9,46.306,2009.0,1,2,2,559.272
20.25,1,6,222.1772,2004.0,2,1,1,5559.43
8.695,0,9,95.5094,1999.0,1,0,1,1237.7222
7.27,0,14,113.5518,2002.0,2,1,1,569.259
13.179111842105263,1,2,174.0712,1985.0,1,2,3,3866.9664
12.85,0,6,198.4768,2002.0,2,1,1,1379.5376
7.075,0,4,142.7128,2009.0,1,2,2,1869.5664
12.275211111111112,1,0,196.211,1985.0,1,2,3,5499.508
8.195,0,0,94.3462,1999.0,1,0,1,925.462
7.09,0,0,47.9034,2004.0,2,1,1,583.2408
6.095,0,11,141.4154,1997.0,2,0,1,1418.154
19.35,1,6,80.2644,2007.0,2,1,1,942.7728
6.15,0,0,99.3384,1997.0,2,0,1,2364.9216
12.340829621380845,1,3,87.9856,1985.0,1,2,3,3251.7672
13.194406118776243,1,6,125.2678,1985.0,2,0,0,254.3356
17.7,0,9,167.0474,2004.0,2,1,1,5895.659
17.85,0,1,93.7436,2009.0,1,2,2,1134.5232
9.395,0,14,224.972,2002.0,2,1,1,7696.648
15.75,0,7,250.5382,2007.0,2,1,1,2775.7202
7.475,0,6,241.2854,2002.0,2,1,1,5317.0788
7.075,0,5,98.0068,2009.0,1,2,2,874.8612
6.445,0,0,92.6436,1997.0,2,0,1,1039.9796
19.1,0,6,235.0958,2004.0,2,1,1,3038.0454
20.25,1,4,193.6162,2004.0,2,1,1,3848.324
15.0,1,3,59.1904,1997.0,2,0,1,527.3136
6.67,1,13,89.1514,1997.0,2,0,1,2390.8878
12.340829621380845,1,3,60.222,1985.0,1,2,3,1677.816
16.7,1,5,112.7176,1987.0,0,2,1,801.6232
7.07,0,13,115.5834,2002.0,2,1,1,1267.0174
6.48,0,13,148.0076,2002.0,2,1,1,886.8456
19.0,1,6,228.272,1998.0,2,2,0,452.744
13.35,0,5,147.5392,2002.0,2,1,1,3877.6192
13.194406118776243,0,6,146.6418,1985.0,1,2,3,4414.254
11.576204620462047,0,7,122.4388,1985.0,1,2,3,5448.9072
9.695,1,0,223.9404,1999.0,1,0,1,4950.8888
15.0,0,14,62.6168,2007.0,2,1,1,958.752
11.15,1,4,149.9708,2007.0,2,1,1,1956.1204
20.85,0,6,103.2306,1999.0,1,0,1,2404.2038
9.8,0,11,194.3478,1998.0,2,2,0,387.4956
16.35,0,10,165.0842,1987.0,0,2,1,994.7052
9.6,1,1,101.299,2002.0,2,1,1,1754.383
13.17173943661972,0,8,129.9994,1985.0,1,2,3,3340.9844
13.35,0,1,216.7166,2002.0,2,1,1,3918.8988
20.7,0,4,76.367,1987.0,0,2,1,306.268
12.275211111111112,0,0,158.4604,1985.0,1,2,3,4278.4308
16.2,0,6,260.6278,2002.0,2,1,1,4425.5726
12.865732002419843,1,13,230.9984,1985.0,1,2,3,9267.936
12.56932340425532,0,5,76.867,1985.0,2,0,0,229.701
13.179111842105263,1,2,129.3994,1985.0,1,2,3,2055.9904
5.5,0,11,101.3016,1997.0,2,0,1,3339.6528
15.1,1,6,221.7456,2002.0,2,1,1,6410.3224
15.7,1,5,122.9046,2007.0,2,1,1,1992.0736
7.895,1,2,104.4332,2007.0,2,1,1,2870.9296
12.340829621380845,1,3,164.5184,1985.0,1,2,3,2807.0128
17.35,1,0,88.183,1987.0,0,2,1,539.298
7.285,0,9,174.3054,1987.0,0,2,1,4377.635
20.25,0,9,180.9976,2002.0,2,1,1,2716.464
12.865732002419843,0,13,190.9504,1985.0,2,0,0,383.5008
15.85,0,14,59.5904,1999.0,1,0,1,703.0848
6.17,0,10,66.3826,1999.0,1,0,1,1937.478
19.5,0,9,182.2608,1999.0,1,0,1,3307.6944
19.2,0,9,197.611,1999.0,1,0,1,3142.576
16.7,0,3,181.2292,2009.0,1,2,2,2554.0088
20.85,1,1,104.0648,2009.0,1,2,2,1869.5664
14.5,1,1,260.4594,2002.0,2,1,1,5494.8474
11.395,1,10,233.1616,1987.0,0,2,1,6093.4016
7.97,0,14,174.0422,1997.0,2,0,1,2586.633
7.71,1,13,55.2956,1999.0,1,0,1,1255.6988
19.25,1,3,141.7496,1997.0,2,0,1,4093.3384
7.075,0,4,142.2128,1997.0,2,0,1,3163.8816
12.766103789126852,1,10,166.0816,1985.0,1,2,3,5033.448
11.6,1,5,79.9276,1997.0,2,0,1,1137.1864
13.194406118776243,0,6,98.77,1985.0,1,2,3,2696.49
12.1,0,7,178.566,2009.0,1,2,2,898.83
10.0,0,8,118.244,1997.0,2,0,1,2756.412
14.35,0,0,81.896,2002.0,2,1,1,878.856
10.395,0,13,58.222,1999.0,1,0,1,659.142
13.23835812964931,0,4,182.6292,1985.0,2,0,0,182.4292
8.1,0,6,211.4902,1987.0,0,2,1,3610.6334
8.05,1,6,256.4646,2004.0,2,1,1,5153.292
9.195,1,10,108.7596,2007.0,2,1,1,2588.6304
20.7,1,4,212.5876,2009.0,1,2,2,1286.3256
15.7,1,6,110.1544,2007.0,2,1,1,1230.3984
13.194406118776243,1,6,60.2194,1985.0,1,2,3,1733.7432
13.17173943661972,0,8,193.8162,1985.0,2,0,0,384.8324
16.5,0,9,180.0318,2002.0,2,1,1,3969.4996
9.0,0,13,176.437,2004.0,2,1,1,7763.228
6.785,1,10,41.2112,1987.0,0,2,1,809.6128
19.5,0,3,178.6002,2009.0,1,2,2,1253.7014
7.575,0,4,195.2768,1997.0,2,0,1,5715.2272
18.2,1,6,57.7904,1987.0,0,2,1,1464.76
16.75,0,4,169.8106,1987.0,0,2,1,3251.1014
7.47,1,5,214.3218,2004.0,2,1,1,4274.436
13.194406118776243,1,6,231.7958,1985.0,1,2,3,5375.0034
13.194406118776243,0,6,38.019,1985.0,1,2,3,1318.284
13.85,1,10,119.4124,2009.0,1,2,2,2251.7356
6.635,1,5,37.4506,2007.0,2,1,1,1176.4686
6.11,1,6,130.4968,1997.0,2,0,1,3523.4136
15.25,0,13,86.2198,2004.0,2,1,1,610.5386
15.85,0,3,96.4094,2004.0,2,1,1,1237.7222
15.2,0,13,235.1248,1998.0,2,2,0,474.0496
12.865732002419843,1,13,52.6666,1985.0,1,2,3,717.7324
20.75,0,14,150.5024,1997.0,2,0,1,2580.6408
10.195,0,5,143.2154,1997.0,2,0,1,2552.6772
7.605,0,6,164.021,2002.0,2,1,1,3914.904
18.0,1,6,88.5514,1997.0,2,0,1,796.9626
13.23835812964931,0,4,228.9352,1985.0,2,0,0,916.1408
18.35,0,9,191.3504,2002.0,2,1,1,3259.7568
6.59,0,6,84.8908,1999.0,1,0,1,1677.816
13.8,1,13,230.0984,1999.0,1,0,1,3707.1744
21.2,1,15,173.5738,1997.0,2,0,1,2954.1546
10.5,1,13,166.4842,2009.0,1,2,2,2652.5472
8.97,0,9,52.7956,2002.0,2,1,1,1037.3164
13.915723684210526,0,11,50.9666,1985.0,1,2,3,717.7324
10.6,0,8,86.1224,2002.0,2,1,1,426.112
13.65,0,1,231.1668,2004.0,2,1,1,6911.004
19.0,0,8,211.0244,1997.0,2,0,1,3811.0392
12.865732002419843,1,13,115.3518,1985.0,1,2,3,2277.036
12.275211111111112,0,0,48.9034,1985.0,2,0,0,48.6034
6.865,0,13,212.8218,1999.0,1,0,1,5770.4886
10.8,1,0,40.2138,1997.0,2,0,1,690.4346
16.7,0,4,110.2886,1987.0,0,2,1,1890.2062
11.576204620462047,0,7,126.2336,1985.0,1,2,3,3195.84
15.15,0,0,150.1708,1997.0,2,0,1,1504.708
10.5,0,9,238.3248,1998.0,2,2,0,711.0744
17.6,0,4,174.2422,2009.0,1,2,2,4311.055
19.35,0,10,175.4738,1997.0,2,0,1,521.3214
15.7,0,9,59.4562,1997.0,2,0,1,829.5868
18.1,0,4,155.5288,2007.0,2,1,1,1571.288
10.195,1,15,239.6538,2004.0,2,1,1,2403.538
11.152361516034986,0,1,41.6454,1985.0,2,0,0,83.8908
6.655,0,6,211.0586,2002.0,2,1,1,844.2344
19.0,0,9,127.3336,2007.0,2,1,1,2940.1728
7.075,0,5,98.0068,1998.0,2,2,0,291.6204
13.15,0,5,181.2976,2002.0,2,1,1,3259.7568
20.1,1,6,226.8036,1999.0,1,0,1,3415.554
20.35,1,4,256.7672,2009.0,1,2,2,5624.6784
18.85,0,8,190.1846,1999.0,1,0,1,6687.961
16.35,1,6,227.1062,1999.0,1,0,1,5642.655
11.3,0,10,196.2426,2009.0,1,2,2,4943.565
17.5,0,6,182.6266,2009.0,1,2,2,3135.2522
18.0,1,6,87.4514,2002.0,2,1,1,796.9626
7.935,0,4,51.535,2002.0,2,1,1,848.895
12.275211111111112,0,0,37.3164,1985.0,2,0,0,38.6164
20.25,1,3,184.5924,1997.0,2,0,1,4997.4948
15.5,1,13,149.1418,1999.0,1,0,1,588.5672
13.23835812964931,0,4,91.812,1985.0,2,0,0,372.848
12.766103789126852,1,10,155.7314,1985.0,2,0,0,155.1314
15.35,0,14,218.0508,1987.0,0,2,1,3038.7112
10.1,0,8,200.2084,1997.0,2,0,1,1587.2672
16.7,1,5,115.4176,2002.0,2,1,1,687.1056
20.7,1,4,213.4876,1999.0,1,0,1,1929.4884
16.0,0,15,223.8404,1987.0,0,2,1,3600.6464
14.0,0,15,180.7634,1997.0,2,0,1,2181.1608
12.85,0,6,181.4318,1997.0,2,0,1,3428.2042
20.85,1,1,105.6648,2002.0,2,1,1,623.1888
12.35,0,9,120.5124,1999.0,1,0,1,2133.2232
6.85,0,5,261.6594,2009.0,1,2,2,3401.5722
10.3,0,6,101.0042,2004.0,2,1,1,1289.6546
12.865732002419843,1,13,49.6008,1985.0,2,0,0,50.6008
8.775,0,4,45.9428,1987.0,0,2,1,790.9704
18.85,0,8,129.2626,2007.0,2,1,1,3147.9024
13.3379766536965,0,9,56.7614,1985.0,1,2,3,2486.763
14.85,0,0,141.0812,2004.0,2,1,1,1139.8496
20.5,1,5,84.3592,1997.0,2,0,1,1816.3024
7.84,1,3,51.935,2009.0,1,2,2,199.74
18.25,0,5,196.7452,2002.0,2,1,1,978.726
10.3,1,13,85.854,1987.0,0,2,1,2683.174
12.5,0,9,169.9448,2004.0,2,1,1,2897.5616
13.23835812964931,0,4,260.5594,1985.0,1,2,3,9158.079
20.25,1,3,93.212,1997.0,2,0,1,1957.452
11.788407960199004,1,14,40.2822,1985.0,1,2,3,1296.3126
15.0,0,8,140.3838,1987.0,0,2,1,2528.7084
8.325,0,6,38.7138,1987.0,0,2,1,284.2966
15.85,0,3,38.6506,2007.0,2,1,1,759.012
